v_track_mm_s,direction,shot,t_s
145.0,up,7,0.08829956246958323
145.0,up,8,0.08732173444751733
145.0,up,9,0.08839803416718543
145.0,down,0,0.5821974578035697
145.0,down,1,0.5801405680511662
145.0,down,2,0.5790148461725175
145.0,down,3,0.579284375082794
145.0,down,4,0.5808565795630368
145.0,down,5,0.5778459372875996
145.0,down,6,0.582846746445966
145.0,down,7,0.5813887236114946
145.0,down,8,0.5826917227396543
145.0,down,9,0.5812417766042396
150.0,up,0,0.08415650112931872
150.0,up,1,0.08325442328905085
150.0,up,2,0.0842635553920315
150.0,up,3,0.08442595735691995
150.0,up,4,0.08357537419368788
150.0,up,5,0.08357772462229854
150.0,up,6,0.08331328909363378
150.0,up,7,0.08384068745195138
150.0,up,8,0.08399030308343614
150.0,up,9,0.08309332762150104
150.0,down,0,0.608088068527167
150.0,down,1,0.6099484761789172
150.0,down,2,0.6088690141319255
150.0,down,3,0.6089880205952636
150.0,down,4,0.6094155367014804
150.0,down,5,0.6051466917768784
150.0,down,6,0.6107679261550492
150.0,down,7,0.6104184728358233
150.0,down,8,0.6061710707981806
150.0,down,9,0.6054397956963703
155.0,up,0,0.08027465557703692
155.0,up,1,0.08030170726798733
155.0,up,2,0.08025321246071296
155.0,up,3,0.07996602645080039
155.0,up,4,0.08007445091690703
155.0,up,5,0.07977177482349143
155.0,up,6,0.08036108297640544
155.0,up,7,0.08020197851786802
155.0,up,8,0.08068057156918737
155.0,up,9,0.07973261588742389
155.0,down,0,0.634484249194198
155.0,down,1,0.6361477255688791
155.0,down,2,0.6326282879022798
155.0,down,3,0.6325800497865084
155.0,down,4,0.6330099583158236
155.0,down,5,0.6357494123812288
155.0,down,6,0.635183072440686
155.0,down,7,0.6341323491974609
155.0,down,8,0.63209233595115
155.0,down,9,0.6352173233138324
160.0,up,0,0.07621393699777894
160.0,up,1,0.0771979371229904
160.0,up,2,0.07750298634196702
160.0,up,3,0.07599587791819164
160.0,up,4,0.07796599516374732
160.0,up,5,0.07745130594461126
160.0,up,6,0.0764225169270993
160.0,up,7,0.07744404752020219
160.0,up,8,0.0776460019237217
160.0,up,9,0.07790910685384896
160.0,down,0,0.6620571118027709
160.0,down,1,0.6610574001912859
160.0,down,2,0.6622751166718569
160.0,down,3,0.6593826556540849
160.0,down,4,0.662441580629858
160.0,down,5,0.6656726943689528
160.0,down,6,0.6608002724781533
160.0,down,7,0.6616167362313096
160.0,down,8,0.6631050565285083
160.0,down,9,0.6582140894377848
165.0,up,0,0.07355342650177873
165.0,up,1,0.07331304412578053
165.0,up,2,0.07451579030381866
165.0,up,3,0.07550208414871444
165.0,up,4,0.07420931755186042
165.0,up,5,0.0739016675163902
165.0,up,6,0.07464025048292638
165.0,up,7,0.07477307467758586
165.0,up,8,0.07301429119445314
165.0,up,9,0.07512758151387582
165.0,down,0,0.6854702539147508
165.0,down,1,0.6907207724435281
165.0,down,2,0.6869817033216353
165.0,down,3,0.6831735740032203
165.0,down,4,0.6914605608178682
165.0,down,5,0.68967118386662
165.0,down,6,0.6824296583827267
165.0,down,7,0.6867340938572549
165.0,down,8,0.680796664036916
165.0,down,9,0.6874880101836143
170.0,up,0,0.07061489884710884
170.0,up,1,0.07176395889800857
170.0,up,2,0.07160706911551785
170.0,up,3,0.07169125191785826
170.0,up,4,0.07111038255245929
170.0,up,5,0.07145432320151689
170.0,up,6,0.07212488643403345
170.0,up,7,0.07185893293924184
170.0,up,8,0.07087289248531488
170.0,up,9,0.07133688208000115
180.0,up,0,0.06717090151507109
180.0,up,1,0.06667178010852626
180.0,up,2,0.06590360709200505
180.0,up,3,0.06678773931148388
180.0,up,4,0.0662032337952645
180.0,up,5,0.06679812390978952
180.0,up,6,0.06628417961703793
180.0,up,7,0.06608325208799035
180.0,up,8,0.06718790788778226
180.0,up,9,0.0674801404034245
190.0,up,0,0.06280828266464351
190.0,up,1,0.062284179341793915
190.0,up,2,0.06319793844253996
190.0,up,3,0.06274151897263348
190.0,up,4,0.06280112355273933
190.0,up,5,0.06201198915167484
190.0,up,6,0.06307644869572138
190.0,up,7,0.062418740654573576
190.0,up,8,0.06267373422646405
190.0,up,9,0.06281818070621048
200.0,up,0,0.05884552185819963
200.0,up,1,0.059096714665267884
200.0,up,2,0.05887835816075655
200.0,up,3,0.05897056664661448
200.0,up,4,0.05920069669435286
200.0,up,5,0.05964731744047057
200.0,up,6,0.05923493879728963
200.0,up,7,0.05922498328079901
200.0,up,8,0.05881898648988522
200.0,up,9,0.059240015509375014
210.0,up,0,0.055545222760074876
210.0,up,1,0.05552427194214738
210.0,up,2,0.05569836382414573
210.0,up,3,0.055531173164935894
210.0,up,4,0.05647933129520621
210.0,up,5,0.05557109470632381
210.0,up,6,0.05614885838290063
210.0,up,7,0.055616858192118715
210.0,up,8,0.05572058674752485
210.0,up,9,0.05599438156523433
220.0,up,0,0.05295296273697767
220.0,up,1,0.05321488109528812
220.0,up,2,0.05386346543262225
220.0,up,3,0.05287663808112225
220.0,up,4,0.053576476483813196
220.0,up,5,0.05242297757277266
220.0,up,6,0.05253108675328385
220.0,up,7,0.05307142009052957
220.0,up,8,0.052774107024606484
220.0,up,9,0.05362256325049212
230.0,up,0,0.05122353504433788
230.0,up,1,0.05008072727421525
230.0,up,2,0.05052704461643148
230.0,up,3,0.05054486841771259
230.0,up,4,0.050613990830732085
230.0,up,5,0.05009545004694596
230.0,up,6,0.0503147438481972
230.0,up,7,0.05050163526426891
230.0,up,8,0.05086255533062249
230.0,up,9,0.050256442755273155
240.0,up,0,0.0489425542479431
240.0,up,1,0.04841460775980746
240.0,up,2,0.04752820300709121
240.0,up,3,0.04763987938792674
240.0,up,4,0.04880476576640191
240.0,up,5,0.04851693131616824
240.0,up,6,0.048091820233427986
240.0,up,7,0.04793245218215965
240.0,up,8,0.04837774297212733
240.0,up,9,0.047654711418687094
250.0,up,0,0.04633064105409822
250.0,up,1,0.04620100192142557
250.0,up,2,0.04589255060878125
250.0,up,3,0.046419732026675535
250.0,up,4,0.04566807728354637
250.0,up,5,0.045904939905978735
250.0,up,6,0.045513022315361015
250.0,up,7,0.04611293111949085
250.0,up,8,0.04604401182803561
250.0,up,9,0.0456691229581212
260.0,up,0,0.04370345140425778
260.0,up,1,0.044595525665460926
260.0,up,2,0.04415177475681295
260.0,up,3,0.04478362442466986
260.0,up,4,0.04402421714351408
260.0,up,5,0.04422182782268001
260.0,up,6,0.04453823104095964
260.0,up,7,0.04357146955425534
260.0,up,8,0.04373300313268941
260.0,up,9,0.043935003006142226
270.0,up,0,0.04258263398884931
270.0,up,1,0.042674147911571376
270.0,up,2,0.04240650869436416
270.0,up,3,0.042935211406549545
270.0,up,4,0.04209488142791792
270.0,up,5,0.04204632868674387
270.0,up,6,0.042091632736733595
270.0,up,7,0.04290700580288285
270.0,up,8,0.042153262943745405
270.0,up,9,0.042102916643875596
280.0,up,0,0.041044013901036826
280.0,up,1,0.03990328199422297
280.0,up,2,0.04090367788095059
280.0,up,3,0.04059761690329746
280.0,up,4,0.04081522520524872
280.0,up,5,0.04057161080225948
280.0,up,6,0.040601573033761676
280.0,up,7,0.04000036130721982
280.0,up,8,0.04089859791020785
280.0,up,9,0.04056440585116013
290.0,up,0,0.03916661200598382
290.0,up,1,0.0391306349397155
290.0,up,2,0.03949500979966026
290.0,up,3,0.03864188177921408
290.0,up,4,0.038745791695617725
290.0,up,5,0.03908975069169482
290.0,up,6,0.039088353279635966
290.0,up,7,0.03917439855993011
290.0,up,8,0.03891992990530772
290.0,up,9,0.04014376100646406
300.0,up,0,0.038024742974675764
300.0,up,1,0.03782584854772345
300.0,up,2,0.03774348482542617
300.0,up,3,0.03769949143245266
300.0,up,4,0.03788754393966258
300.0,up,5,0.03797519381548846
300.0,up,6,0.03857278989701567
300.0,up,7,0.03777699124210262
300.0,up,8,0.038151362851612136
300.0,up,9,0.037905827691804804
